OID,TRAP_NAME,ALARM NUMBER,SEVERITY,ALARM TEXT,VARIABLE
1.3.6.1.4.1.232.0.6099,cpqHePwrSupplyError,350662,major,HE PWR SUPPLY ERROR,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqHeFltTolPowerSupplyChassis=1.3.6.1.4.1.232.6.2.9.3.1.1#cpqHeFltTolPowerSupplyBay=1.3.6.1.4.1.232.6.2.9.3.1.2#cpqHeFltTolPowerSupplyErrorCondition=1.3.6.1.4.1.232.6.2.9.3.1.18
1.3.6.1.4.1.232.0.6100,cpqHePwrSupplyErrorRepaired,350662,clear,HE PWR SUPPLY ERROR REPAIRED,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqHeFltTolPowerSupplyChassis=1.3.6.1.4.1.232.6.2.9.3.1.1#cpqHeFltTolPowerSupplyBay=1.3.6.1.4.1.232.6.2.9.3.1.2#cpqHeFltTolPowerSupplyErrorCondition=1.3.6.1.4.1.232.6.2.9.3.1.18
1.3.6.1.4.1.232.0.6101,cpqHeBbuError,350663,major,HE BBU ERROR,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqHeBbuChassis=1.3.6.1.4.1.232.6.2.23.2.1.1#cpqHeBbuBay=1.3.6.1.4.1.232.6.2.23.2.1.2#cpqHeBbuErrorCondition=1.3.6.1.4.1.232.6.2.23.2.1.15
1.3.6.1.4.1.232.0.6102,cpqHeBbuErrorRepaired,350663,clear,HE BBU ERROR REPAIRED,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqHeBbuChassis=1.3.6.1.4.1.232.6.2.23.2.1.1#cpqHeBbuBay=1.3.6.1.4.1.232.6.2.23.2.1.2#cpqHeBbuErrorCondition=1.3.6.1.4.1.232.6.2.23.2.1.15
1.3.6.1.4.1.232.0.6103,cpqHeNoPowerSupplyDetected,350664,major,HE NO POWER SUPPLY DETECTED,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1
1.3.6.1.4.1.232.0.6104,cpqHePowerProtectionFault,350665,critical,HE POWER PROTECTION FAULT,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1
1.3.6.1.4.1.232.0.169001,cpqiScsiLinkUp,350666,clear,SCSI LINK UP,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqiScsiInstDescr=1.3.6.1.4.1.232.169.2.2.1.1.2
1.3.6.1.4.1.232.0.169002,cpqiScsiLinkDown,350666,major,SCSI LINK DOWN,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqiScsiInstDescr=1.3.6.1.4.1.232.169.2.2.1.1.2
1.3.6.1.4.1.232.0.9024,cpqSm2AutoShutdownInitiated,350667,major,SM2 AUTO SHUTDOWN INITIATED,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqSm2CntlrSysAutoShutdownCause=1.3.6.1.4.1.232.9.2.2.33
1.3.6.1.4.1.232.0.9025,cpqSm2AutoShutdownCancelled,350667,clear,SM2 AUTO SHUTDOWN CANCELLED,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqSm2CntlrSysAutoShutdownCause=1.3.6.1.4.1.232.9.2.2.33
1.3.6.1.4.1.232.0.9026,cpqSm2FwUpdateUploadFailed,350668,major,SM2 FIRMWARE UPDATE UPLOAD FAILED,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqSm2FwFailureCode=1.3.6.1.4.1.232.9.2.7.2
1.3.6.1.4.1.232.0.9027,cpqSm2SecurityStateChange,350669,warning,SM2 SECURITY STATE CHANGE,sysName=1.3.6.1.2.1.1.5#cpqHoTrapFlags=1.3.6.1.4.1.232.11.2.11.1#cpqSm2CntlrSecurityState= 1.3.6.1.4.1.232.9.2.2.34
